# timestamp tx ty tz qx qy qz qw
1766070015.064599991 136.019763769 16.273187279 -81.538175630 -0.736837392 -0.245383906 -0.010041113 -0.629886158
1766070015.163700104 136.390002885 16.311104841 -81.914701480 -0.735124193 -0.236243771 -0.019786685 -0.635129742
1766070015.263799906 136.764755960 16.347344163 -82.278840572 -0.734894060 -0.222220727 -0.024897720 -0.640256802
1766070015.366800070 137.139813026 16.380069080 -82.629286565 -0.734881498 -0.209185909 -0.030006090 -0.644430038
1766070015.464099884 137.515496613 16.406006048 -82.960861994 -0.734725668 -0.199837623 -0.038066381 -0.647143005
1766070015.564800024 137.895549970 16.434607847 -83.275264446 -0.735666199 -0.191179615 -0.043743308 -0.648330256
1766070015.667500019 138.269243667 16.450393830 -83.581537034 -0.735549064 -0.183872761 -0.049899493 -0.650129543
1766070015.766900063 138.645446279 16.463189995 -83.869861672 -0.733336740 -0.183344973 -0.057685111 -0.652130566
1766070015.868099928 139.021599653 16.473446294 -84.140816902 -0.727783319 -0.185024493 -0.065784172 -0.657091942
1766070015.968100071 139.401433418 16.475766997 -84.403811377 -0.725544986 -0.182927974 -0.070187103 -0.659693566
1766070016.068700075 139.784669876 16.480990401 -84.648908453 -0.727472419 -0.180557902 -0.073618018 -0.657847331
1766070016.168999910 140.165451070 16.486809939 -84.890028564 -0.732123230 -0.178219757 -0.077808517 -0.652823964
1766070016.265000105 140.548837405 16.492014553 -85.109878190 -0.734736614 -0.176517469 -0.080519375 -0.650015631
1766070016.365999937 140.932341563 16.500536962 -85.318833518 -0.737106215 -0.173284782 -0.078447852 -0.648454121
1766070016.468699932 141.314262521 16.510954475 -85.537004206 -0.738539742 -0.171516168 -0.076397937 -0.647537342
1766070016.568799973 141.693214038 16.526520069 -85.741207715 -0.738407202 -0.171329260 -0.076118586 -0.647770831
1766070016.665999889 142.072032765 16.544197034 -85.941610427 -0.735274797 -0.173385321 -0.078479516 -0.650499400
1766070016.765799999 142.447434439 16.568298393 -86.136406754 -0.732866379 -0.174966601 -0.079644324 -0.652648712
1766070016.868999958 142.828290178 16.596169565 -86.331482396 -0.731743214 -0.176839867 -0.078170953 -0.653581543
1766070016.966099977 143.213098721 16.622655627 -86.507750088 -0.731893492 -0.181039508 -0.075907369 -0.652529451
1766070017.069499969 143.595604635 16.656772400 -86.688951609 -0.732236809 -0.186209517 -0.072085366 -0.651121319
